Time;U_t;V_t
2.085;-0.3394230279592082;-4.3065031319329545
2.09;-0.3587467060168774;-3.415579093860061
2.095;-0.3735144960665065;-2.486075425813789
2.1;-0.38356273334650043;-1.5297450598903852
2.105;-0.38878728586943734;-0.5586227503655214
2.11;-0.38914458438587024;0.41512619575976917
2.115;-0.38465189539042566;1.379358039283266
2.12;-0.3753868353354631;2.322101755491978
2.125;-0.36148613363091564;3.2317075058197298
2.13;-0.34314366543573355;4.096990274927843
2.1350000000000002;-0.32060778128628065;4.907367188583722
2.14;-0.29417796985039935;5.652986685447914
2.145;-0.26420089808692326;6.324847956936486
2.15;-0.23106588200207975;6.914909342859101
2.1550000000000002;-0.1951998454037026;7.416184209772039
2.16;-0.15706183308999697;7.822823295718575
2.165;-0.11713714870505447;8.13018252451466
2.17;-0.07593119033186013;8.33487547699924
2.1750000000000003;-0.033963064516245825;8.434809974642773
2.18;0.008240942560024046;8.429208371193797
2.185;0.050153954213962945;8.318611376029459
2.19;0.09125507018813335;8.10486543446148
2.195;0.1310358302921106;7.791093895622379
2.2;0.16900649356667802;7.381652401315131
2.205;0.20470205644568668;6.882069120150751
2.21;0.23768793603434965;6.298970638788179
2.215;0.26756524892660716;5.639994498165612
2.22;0.2939756213695052;4.913689529854773
2.225;0.3166054738185947;4.129405274372687
2.23;0.33518972787412843;3.297171921929922
2.235;0.34951489240081185;2.4275723128856437
2.24;0.35942149294611353;1.5316076460157055
2.245;0.3648058202540356;0.6205583981927585
2.25;0.36562096794112064;-0.2941572211259574
2.255;0.3618771683549478;-1.2011263013182438
2.2600000000000002;0.35364140852739956;-2.089083385511486
2.265;0.3410363425536365;-2.9470501601239087
2.27;0.3242385149211444;-3.7644709544457764
2.275;0.3034759201631331;-4.531342357899236
2.2800000000000002;0.27902493306048476;-5.238335400074278
2.285;0.2512066488321647;-5.876908761066654
2.29;0.2203826841241607;-6.4394116914845885
2.295;0.1869504894317893;-6.91917533282206
2.3000000000000003;0.1513382383056316;-7.310591448857868
